date,Real Middle Band,Real Lower Band,Real Upper Band
2018-03-21 15:23,93.0965,92.9703,93.2227
2018-03-21 15:24,93.1095,93.0338,93.1852
2018-03-21 15:25,93.1055,93.0303,93.1807
2018-03-21 15:26,93.0957,92.9944,93.1971
2018-03-21 15:27,93.0787,92.9522,93.2053
2018-03-21 15:28,93.0763,92.9469,93.2056
2018-03-21 15:29,93.0693,92.932,93.2065
2018-03-21 15:30,93.0463,92.8828,93.2097
2018-03-21 15:31,93.0093,92.8109,93.2076
2018-03-21 15:32,92.9818,92.7608,93.2027
2018-03-21 15:33,92.9533,92.7598,93.1467
2018-03-21 15:34,92.9403,92.7632,93.1173
2018-03-21 15:35,92.9253,92.7786,93.0719
2018-03-21 15:36,92.9245,92.7792,93.0698
2018-03-21 15:37,92.9325,92.7722,93.0928
2018-03-21 15:38,92.9385,92.7605,93.1165
2018-03-21 15:39,92.9495,92.7459,93.1531
2018-03-21 15:40,92.9615,92.7569,93.1661
2018-03-21 15:41,92.9865,92.8074,93.1656
2018-03-21 15:42,93.003,92.8643,93.1417
2018-03-21 15:43,93.0145,92.904,93.125
2018-03-21 15:44,93.0115,92.8918,93.1312
2018-03-21 15:45,93.0075,92.8764,93.1386
2018-03-21 15:46,93.005,92.8713,93.1387
2018-03-21 15:47,93.003,92.8709,93.1351
2018-03-21 15:48,92.996,92.8763,93.1157
2018-03-21 15:49,92.981,92.8874,93.0746
2018-03-21 15:50,92.96,92.8255,93.0945
2018-03-21 15:51,92.934,92.7801,93.0879
2018-03-21 15:52,92.902,92.6811,93.1229
2018-03-21 15:53,92.864,92.5919,93.1361
2018-03-21 15:54,92.8305,92.511,93.15
2018-03-21 15:55,92.8005,92.4573,93.1437
2018-03-21 15:56,92.7625,92.4142,93.1108
2018-03-21 15:57,92.7115,92.38,93.043
2018-03-21 15:58,92.6555,92.3647,92.9463
2018-03-21 15:59,92.6125,92.3971,92.8279
2018-03-21 16:00,92.5795,92.3966,92.7624
2018-03-22 09:30,92.4115,91.5359,93.287
2018-03-22 09:31,92.22,90.9138,93.5262
2018-03-22 09:32,92.037,90.5071,93.5669
2018-03-22 09:33,91.8598,90.2142,93.5055
2018-03-22 09:34,91.6988,90.0593,93.3383
2018-03-22 09:35,91.5308,89.9435,93.1182
2018-03-22 09:36,91.3848,89.9208,92.8489
2018-03-22 09:37,91.2598,89.9828,92.5368
2018-03-22 09:38,91.1468,90.1761,92.1175
2018-03-22 09:39,91.0388,90.5802,91.4974
2018-03-22 09:40,91.0593,90.5724,91.5463
2018-03-22 09:41,91.1298,90.6412,91.6185
2018-03-22 09:42,91.1928,90.7397,91.646
2018-03-22 09:43,91.2435,90.8695,91.6175
2018-03-22 09:44,91.2725,90.9388,91.6062
2018-03-22 09:45,91.327,91.0906,91.5634
2018-03-22 09:46,91.366,91.2104,91.5216
2018-03-22 09:47,91.396,91.2576,91.5344
2018-03-22 09:48,91.395,91.2566,91.5334
2018-03-22 09:49,91.4115,91.2394,91.5836
2018-03-22 09:50,91.4335,91.2601,91.6069
2018-03-22 09:51,91.4375,91.261,91.614
2018-03-22 09:52,91.441,91.2654,91.6166
2018-03-22 09:53,91.448,91.2891,91.6069
2018-03-22 09:54,91.461,91.3432,91.5788
2018-03-22 09:55,91.4425,91.2735,91.6115
2018-03-22 09:56,91.4415,91.2723,91.6107
2018-03-22 09:57,91.4295,91.2645,91.5945
2018-03-22 09:58,91.4195,91.2351,91.6039
2018-03-22 09:59,91.3917,91.2203,91.5632
2018-03-22 10:00,91.3656,91.2106,91.5207
2018-03-22 10:01,91.3356,91.1726,91.4987
2018-03-22 10:02,91.3101,91.1438,91.4765
2018-03-22 10:03,91.2971,91.1343,91.4599
2018-03-22 10:04,91.293,91.1401,91.446
2018-03-22 10:05,91.303,91.147,91.4591
2018-03-22 10:06,91.289,91.1579,91.4202
2018-03-22 10:07,91.2705,91.1498,91.3913
2018-03-22 10:08,91.279,91.143,91.4151
2018-03-22 10:09,91.2953,91.1247,91.4659
2018-03-22 10:10,91.3139,91.118,91.5098
2018-03-22 10:11,91.3349,91.152,91.5178
2018-03-22 10:12,91.3599,91.1957,91.5241
2018-03-22 10:13,91.3869,91.2152,91.5586
2018-03-22 10:14,91.408,91.2019,91.6142
2018-03-22 10:15,91.442,91.1754,91.7086
2018-03-22 10:16,91.4765,91.2083,91.7447
2018-03-22 10:17,91.522,91.3037,91.7403
2018-03-22 10:18,91.5485,91.3441,91.7529
2018-03-22 10:19,91.5695,91.3668,91.7722
2018-03-22 10:20,91.5815,91.3924,91.7706
2018-03-22 10:21,91.5949,91.4439,91.7458
2018-03-22 10:22,91.6069,91.4924,91.7214
2018-03-22 10:23,91.6119,91.5092,91.7145
2018-03-22 10:24,91.6168,91.516,91.7177
2018-03-22 10:25,91.6065,91.5221,91.691
2018-03-22 10:26,91.608,91.5211,91.6949
2018-03-22 10:27,91.606,91.5232,91.6889
2018-03-22 10:28,91.591,91.4867,91.6954
2018-03-22 10:29,91.579,91.4818,91.6763
2018-03-22 10:30,91.571,91.4629,91.6792
2018-03-22 10:31,91.5577,91.409,91.7064
2018-03-22 10:32,91.5397,91.3568,91.7226
2018-03-22 10:33,91.5187,91.3084,91.729
2018-03-22 10:34,91.4872,91.2594,91.715
2018-03-22 10:35,91.461,91.2294,91.6926
2018-03-22 10:36,91.429,91.2238,91.6342
2018-03-22 10:37,91.3775,91.1525,91.6025
2018-03-22 10:38,91.3445,91.0992,91.5898
2018-03-22 10:39,91.3135,91.0984,91.5286
2018-03-22 10:40,91.295,91.119,91.471
2018-03-22 10:41,91.278,91.1134,91.4426
2018-03-22 10:42,91.263,91.1115,91.4145
2018-03-22 10:43,91.244,91.0983,91.3897
2018-03-22 10:44,91.2225,91.0624,91.3826
2018-03-22 10:45,91.198,91.0392,91.3568
2018-03-22 10:46,91.168,91.007,91.329
2018-03-22 10:47,91.1535,90.9573,91.3497
2018-03-22 10:48,91.1345,90.9098,91.3592
2018-03-22 10:49,91.1185,90.9006,91.3364
2018-03-22 10:50,91.083,90.8905,91.2755
2018-03-22 10:51,91.059,90.8871,91.2309
2018-03-22 10:52,91.0325,90.8962,91.1688
2018-03-22 10:53,91.0065,90.8868,91.1262
2018-03-22 10:54,90.9855,90.8651,91.1059
2018-03-22 10:55,90.9775,90.877,91.078
2018-03-22 10:56,90.9625,90.8534,91.0716
2018-03-22 10:57,90.9465,90.809,91.0839
2018-03-22 10:58,90.924,90.7426,91.1053
2018-03-22 10:59,90.8974,90.7323,91.0625
2018-03-22 11:00,90.8794,90.7065,91.0524
2018-03-22 11:01,90.8524,90.6728,91.0321
2018-03-22 11:02,90.8324,90.6631,91.0017
2018-03-22 11:03,90.8089,90.6247,90.9932
2018-03-22 11:04,90.7939,90.6141,90.9737
2018-03-22 11:05,90.7639,90.6505,90.8774
2018-03-22 11:06,90.7429,90.6468,90.8391
2018-03-22 11:07,90.7274,90.6361,90.8188
